ISBN,Bin,Title,ISBN_13,ISBN_10,Author,Edition,Binding,Publisher,PubDate,ListPrice

9781594851384,1,Mountaineering: The Freedom of the Hills,9781594851384,1594851387,The Mountaineers,8,Paperback,Mountaineers Books,2010,$0.29
9780316017930,1,"Malcolm Gladwell Collection 3 Books Set (The Tipping Point, Blink The Power of Thinking Without Thinking, Outliers The Story of Success)",9780316017930,0316017930,Malcolm Gladwell,Paperback,Penguin Book,2019,$0.17
9780578482712,1,Frenchman Coulee,9780578482712,0578482711,Brenden Sullivan; Jim Yoder,Perfect Paperback,Vertical Press Publishers,2023
9781840783704,1,Project Management in Easy Steps,9781840783704,1840783702,"Carroll, John",Paperback,In Easy Steps Limited,2009,$0.12
9781422117347,1,"Becoming a Resonant Leader: Develop Your Emotional Intelligence, Renew Your Relationships, Sustain Your Effectiveness",9781422117347,1422117340,"McKee, Annie; Boyatzis, Richard E.; Johnston, Fran",Illustrated,Paperback,Harvard Business Review Press,2008,$0.32
9781939754684,1,We're Pregnant! The First Time Dad's Pregnancy Handbook,9781939754684,1939754682,"Kulp, Adrian",Paperback,Rockridge Press,2018,$0.13
9781593274078,1,Python for Kids: A Playful Introduction to Programming,9781593274078,1593274076,"Briggs, Jason R.",1,Paperback,"No Starch Press, Incorporated",2012,$0.15
9780898864793,1,Challenge of the North Cascades,9780898864793,0898864798,"Beckey, Fred",1,Paperback,Mountaineers Books,1996,$0.11
9781628251845,1,A Guide to the Project Management Body of Knowledge (PMBOK® Guide)–Sixth Edition,9781628251845,1628251840,Project Management Institute,"Sixth Edition, Sixth edition",Paperback,Project Management Institute,2017
9781938340840,1,Training for the Uphill Athlete: A Manual for Mountain Runners and Ski Mountaineers,9781938340840,1938340841,"House, Steve; Johnston, Scott; Jornet, Kilian",Illustrated,Paperback,Patagonia,2019,$0.35
